Untitled,Pronunciation,Part of speech,English
fhafín,/ˈhafˠiːnʲ/,nm.,scissors
fhacht,/haxtˠ/,pron.,everybody
fhahaesí,/haˈhaʃiː/,nf.,blade
fhahaesí,/haˈhaʃiː/,nf.,razor
fhair,/haɾ/,nnt.,canal
fhallz,/haɫʦ/,nnt.,vest
fhallueueg,/haˈɫɔʏg/,nf.,bitch
fhaeliaunn,/haˈlaʊnˠ/,nf.,snack
fhaesí,/ˈhaʃiː/,nf.,memoir
fhauchtheit,/haʊ̯xtˠˈhaɪtʲ/,nm.,anxiety
fhaucht,/haʊ̯xtˠ/,adj.,nervous
fhaucht,/haʊ̯xtˠ/,adj.,anxious
fhauz,/haʊ̯ʦ/,adj.,spontaneous
fhaur,/haʊ̯ʁ/,adj.,vicious
fhaur,/haʊ̯ʁ/,adj.,wild
fhäzán,/ˈhɛːʒæːnʲ/,nm.,capsule
fhäzán,/ˈhɛːʒæːnʲ/,nm.,tablet
fhällzóir,/hɛːɫˈʦoːiɾ/ [ˈhɛːɫʦoːɾ],nm.,herb
fhällzóir,/hɛːɫˈʦoːiɾ/ [ˈhɛːɫʦoːɾ],nm.,flower
fhänaíonn,/ˌhɛːnˠaˈiːɔnˠ/ [ˈhɛːnˠiːnˠ],v.,dub
fhän,/hɛːɲ/,nnt.,staff
fhän,/hɛːɲ/,nnt.,crew
fhä,/hɛː/,nnt.,boot
fhizíonn,/hɪˈʒiːɔnˠ/ [ˈhɪʒiːnˠ],v.,disguise
fhizíonn,/hɪˈʒiːɔnˠ/ [ˈhɪʒiːnˠ],v.,deceive
fhizíonn,/hɪˈʒiːɔnˠ/ [ˈhɪʒiːnˠ],v.,feign
fhiullzír,/ˈhɪɫʦiːɾ/,nf.,gallery (art)
fhiullzír,/ˈhɪɫʦiːɾ/,nf.,exhibit
fhefiang,/ˈhefʲaŋ/,nnt.,culture
fhefiang,/ˈhefʲaŋ/,nnt.,fashion
fhefeanuis,/heˈfʲaŋɪʃ/,adj.,cultural
fhefír,/ˈhefʲiːɾ/,nf.,plant
fhefír sézír,/ˈhefʲiːɾ ˈsˠeːʦiːɾ/,nf.,hedge
fhealög,/ˈheɫøːg/,nf.,feast
fhealög,/ˈheɫøːg/,nf.,picnic
fheich,/haɪ̯x/,nm.,trap
fher,/heɾ/,adj.,naked
fher,/heɾ/,adj.,nude
fheuf,/hɔʏ̯fˠ/,nnt.,cigar
fheunann,/ˈheŋanˠ/,v.,call (cry out)
fheunann,/ˈheŋanˠ/,v.,call (request the attendance of)
fheupsóir,/hɔʏ̯pʲˈʃoːiɾ/ [ˈhɔʏ̯pʲʃoːɾ],nm.,knee
fhesí,/ˈheʃiː/,nf.,hub (center of activity)
fhept,/hepʲtʲ/,nnt.,homeland
fhept,/hepʲtʲ/,nnt.,motherland
fhoz,/hɔʦ/,adj.,relevant
fhonsaíonn,/ˌhɔŋsˠaˈiːɔnˠ/ [ˈhɔŋsˠiːnˠ],nf.,experience
fhonsaíonn,/ˌhɔŋsˠaˈiːɔnˠ/ [ˈhɔŋsˠiːnˠ],v.,experience
fhosúir,/hɔˈsˠuːiɾ/ [ˈhɔsˠuːɾ],nm.,syrup
fhoíonn,/hɔˈiːɔnˠ/ [hiːnˠ],v.,roll
fhoíonn,/hɔˈiːɔnˠ/ [hiːnˠ],v.,revolve
fhoíonn,/hɔˈiːɔnˠ/ [hiːnˠ],v.,rotate
fhoßaíonn,/ˌhɔsˠaˈiːɔnˠ/ [ˈhɔsˠiːnˠ],v.,stain
fhucht,/hʊxtˠ/,nnt.,demon
fhuest,/hʊʃtʲ/,nnt.,rule (law, regulation)
fhuest,/hʊʃtʲ/,nnt.,condition (requirement, stipulation)
fhunír,/ˈhʊnˠiːɾ/,nf.,hat
fhuíonn,/hʊˈiːɔnˠ/ [hiːnˠ],v.,print
fhübhín,/ˈhʏːvˠiːnʲ/ [ˈhʏːwiːnʲ],nm.,bee
fhüzög,/ˈhʏːʦøːg/,nf.,lung
fhüz,/hʏːʦ/,nnt.,robot
fhách,/hæːx/,nm.,force
fháheit,/hæːˈhaɪtʲ/,nnt.,ability
fhá,/hæː/,adj.,able
fhá,/hæː/,adj.,capable
fhá,/hæː/,adj.,competent
fhégíonn,/heːˈgiːɔnˠ/ [ˈheːgiːnˠ],v.,sneak
fhégíonn,/heːˈgiːɔnˠ/ [ˈheːgiːnˠ],v.,creep
fhégíonn,/heːˈgiːɔnˠ/ [ˈheːgiːnˠ],v.,lurk
fhéonn,/ˈheːɔnˠ/ [heːnˠ],v.,bark
fhígia,/ˈhiːga/,nnt.,video
fhízaíonn,/ˌhiːʦaˈiːɔnˠ/ [ˈhiːʦiːnˠ],nnt.,manager
fhízaíonn,/ˌhiːʦaˈiːɔnˠ/ [ˈhiːʦiːnˠ],v.,manage
fhíonn,/ˈhiːɔnˠ/ [hiːnˠ],v.,evoke
fhí,/hiː/,nnt.,gravel
fhóc,/hoːk/,nm.,paradox
fhónanaíonn,/hoːˌŋanˠaˈiːɔnˠ/ [hoːˈŋanˠiːnˠ],v.,plant
fhónanaíonn,/hoːˌŋanˠaˈiːɔnˠ/ [hoːˈŋanˠiːnˠ],v.,bury
fhúmhlü,/ˈhuːmʲɫʏ/,adj.,painful
fhúm,/huːmʲ/,nnt.,pain
fhúnaíonn,/ˌhuːŋaˈiːɔnˠ/ [ˈhuːŋiːnˠ],v.,belong
fraiast,/fˠʁɪsˠtˠ/,nnt.,harvest
fraionn,/ˈfˠʁɪɔnˠ/,v.,bow (greet)
fraegúir,/fˠʁaˈguːiɾ/ [ˈfˠʁaguːɾ],nm.,pastry
frauzaíonn,/ˌfˠʁaʊ̯ʦaˈiːɔnˠ/ [ˈfˠʁaʊ̯ʦiːnˠ],v.,pour
frauzaíonn,/ˌfˠʁaʊ̯ʦaˈiːɔnˠ/ [ˈfˠʁaʊ̯ʦiːnˠ],v.,drain
frauzaíonn,/ˌfˠʁaʊ̯ʦaˈiːɔnˠ/ [ˈfˠʁaʊ̯ʦiːnˠ],v.,flow
frautonn,/ˈfˠʁaʊ̯tˠɔnˠ/,nm.,penis
fra,/fˠʁa/,adj.,left
fränaíonn,/ˌfʲɾɛːnˠaˈiːɔnˠ/ [ˈfʲɾɛːnˠiːnˠ],v.,haggle
friadh,/fʲɾɪvˠ/,nnt.,singer
friabh,/fʲɾɪvˠ/,nm.,song
friaichög,/ˈfʲɾaçøːg/,nf.,database
friail,/fʲɾal/,nnt.,memento
friaesóir,/fʲɾaˈʃoːiɾ/ [ˈfʲɾaʃoːɾ],nm.,wardrobe
frianann,/ˈfʲɾaŋanˠ/,v.,nag
frianann,/ˈfʲɾaŋanˠ/,v.,bother
friann,/ˈfʲɾɪanˠ/,v.,sort
frio,/fʲɾɔ/,nnt.,arrow (weapon)
frio,/fʲɾɔ/,nnt.,arrow (sign)
friuabhéir,/fʲɾuə̯ˈvʲeːiɾ/ [ˈfʲɾuə̯vʲeːɾ],nm.,puddle
friubhaíonn,/ˌfʲɾɪvˠaˈiːɔnˠ/ [ˈfʲɾɪwiːnˠ],v.,sing
fri,/fʲɾɪ/,nnt.,turmoil
fripeueg,/fʲɾɪˈpʲɔʏg/,nf.,therapy
fripeueg,/fʲɾɪˈpʲɔʏg/,nf.,remedy
freabra,/ˈfʲɾabˠʁa/,nnt.,allergy
freaigheit,/fʲɾagˈhaɪtʲ/,nnt.,civilization
freaisín,/ˈfʲɾaʃiːnʲ/,nm.,bread
freaz,/fʲɾaʦ/,adj.,dumb (speechless)
freaechán,/ˈfʲɾaçæːnʲ/,nm.,festival
freaechán geasí,/ˈfʲɾaçæːnʲ ˈgəu̯ʃiː/,nf.,holiday
freaeg,/fʲɾag/,adj.,civilized
freann,/ˈfʲɾeanˠ/,v.,strip
freaunaíonn,/ˌfʲɾaʊ̯nˠaˈiːɔnˠ/ [ˈfʲɾaʊ̯nˠiːnˠ],v.,frustrate
frea,/fʲɾa/,num.,hundred
freidh,/fʲɾaɪ̯vˠ/,nm.,limit
freidh,/fʲɾaɪ̯vˠ/,nm.,border
freidh,/fʲɾaɪ̯vˠ/,nm.,boundary
freipsög,/ˈfʲɾaɪ̯pˠsˠøːg/,nf.,bait
fremhánlü,/fʲɾeˈmʲæːnʲɫʏ/,adj.,proud
fremhán,/ˈfʲɾemʲæːnʲ/,nm.,honor
fremhán,/ˈfʲɾemʲæːnʲ/,nm.,pride
