Untitled,Pronunciation,Part of speech,English
faoi,/fˠɪ/,prep.,under
fhabhóchtann,/ˈhavˠoːxtˠanˠ/ [ˈhawoːxtˠanˠ],v.,torture
fhag,/haɟ/,nnt.,diary
fhag,/haɟ/,nnt.,memoir
fhag,/haɟ/,nnt.,calendar
fhaimheann,/haˈmʲəunˠ/,v.,graduate
fhaz,/haʦ/,nnt.,dagger
fhaebhialóir,/ˈhavʲɪˌɫoːiɾ/ [ˈhavʲɪɫoːɾ],nm.,town
fhaezán,/ˈhaʒæːnʲ/,nm.,line
fhaemhúir,/ˈhamʲuːiɾ/ [ˈhamʲuːɾ],nm.,platform
fhaenönens,/ˈhanʲøːɲenʲʃ/,adj.,middle
fhaenán,/ˈhaɲæːnʲ/,nm.,drink
fhaerög,/ˈhaɾøːg/,nf.,instrument
fhaeste,/ˈhaʃtʲe/,nm.,bathroom
fhamm,/hamˠ/,nm.,louse
fhampfóir,/hamˠpˠˈfˠoːiɾ/ [hamˠpˠˈfˠoːɾ],nm.,vulture
fhang,/haŋ/,nnt.,concern
fhann,/hanˠ/,v.,tow
fhanán,/ˈhanˠæːnʲ/,nm.,magazine
fhauns,/haʊ̯nˠsˠ/,nnt.,ambition
fhast,/hasˠtˠ/,adj.,vague
fhast,/hasˠtˠ/,adj.,ambiguous
fha,/ha/,nnt.,settlement (village)
fhaíonn,/haˈiːɔnˠ/ [hiːnˠ],v.,hold
fhaíonn,/haˈiːɔnˠ/ [hiːnˠ],v.,grip
fhapsán,/ˈhapˠsˠæːnʲ/,nm.,radiation
fhäliaunn,/ˈhɛːlaʊnˠ/,nf.,suit
fhä,/hɛː/,adj.,suspicious
fhibheann,/ˈhɪvʲəunˠ/,v.,create
fhiofír,/ˈhɪfˠiːɾ/,nf.,sentence
fhiocht,/hɪxtˠ/,nm.,fixture
fhiodzaíonn,/ˈhɪdˠʦaˌiːɔnˠ/ [ˈhɪdˠʦiːnˠ],v.,intervene
fhitög,/hɪˈtʲøːg/,nf.,oath
fhip,/hɪpʲ/,nnt.,neutron
fhefräzaíonn,/ˈhefʲɾɛːˌʦaiːɔnˠ/ [ˈhefʲɾɛːʦiːnˠ],v.,haunt
fhechíonn,/ˈheçiːɔnˠ/ [ˈheçiːnˠ],v.,lie
fheaneann,/ˈhəu̯ɲəunˠ/,v.,try (strive)
fheaneann,/ˈhəu̯ɲəunˠ/,v.,strive
fhean,/həu̯ɲ/,adj.,wet
fhean,/həu̯ɲ/,adj.,damp
fhean,/həu̯ɲ/,adj.,moist
fheaßeann,/ˈhəu̯ʃəunˠ/,v.,wrestle
fheg,/heg/,adj.,complicated
fhezeann,/ˈheʒəunˠ/,v.,sync
fhezín,/ˈheʒiːnʲ/,nm.,visitor
fhens,/heɲʃ/,adj.,distant
fhereann,/heˈɾəunˠ/,v.,scatter
fher,/heɾ/,adj.,awkward
fheullög,/heˈɫøːg/,nf.,source
fheullög,/heˈɫøːg/,nf.,well
fheung,/heŋ/,nnt.,cuff
fhe,/he/,nnt.,victory
fhepeann,/ˈhepʲəunˠ/,v.,chat
fhepeoraíonn,/heˈpʲeʁaˌiːɔnˠ/ [heˈpʲeʁiːnˠ],v.,devise
fheßeann,/heˈʃəunˠ/,v.,spell
fhogaeuig,/hɔˈɟɔʏg/,nf.,winter
fhoich,/hɔç/,adv.,recently
fhoidzíonn,/ˈhɔdʲʒiːɔnˠ/ [ˈhɔdʲʒiːnˠ],v.,yank
fhoidzíonn,/ˈhɔdʲʒiːɔnˠ/ [ˈhɔdʲʒiːnˠ],v.,jerk
fhoinseann,/ˈhɔɲʃəunˠ/,v.,elevate
fholz,/hɔɫʦ/,nnt.,steel
fholl,/hɔɫ/,pron.,everyone
fhoegóir,/hɔˈgoːiɾ/ [hɔˈgoːɾ],nm.,door
fhoerteann,/ˈhɔɾtʲəunˠ/,v.,save (put aside)
fhoerteann,/ˈhɔɾtʲəunˠ/,v.,collect
fhomm,/hɔmˠ/,nm.,lobby
fhompéseaigín,/ˈhɔmˠpˠeːˌʃagiːnʲ/,nm.,proof
fhonn,/hɔnˠ/,v.,tangle
fhonn,/hɔnˠ/,v.,ruffle
fho,/hɔ/,adv.,quite
fhöréir,/ˈhøːɾeːiɾ/ [ˈhøːɾeːɾ],nm.,artillery
fhösí,/høːˈʃiː/,nf.,handcuff
fhö,/høː/,nnt.,alibi
fhuacht,/huə̯xtˠ/,nm.,step (footstep)
fhuang,/huə̯ŋ/,nnt.,service
fhua,/huə̯/,adj.,other
fhugög,/ˈhʊɟøːg/,nf.,elf
fhulaíonn,/ˈhʊɫaˌiːɔnˠ/ [ˈhʊɫiːnˠ],v.,supervise
fhueg,/hʊg/,adj.,quiet
fhueg,/hʊg/,adj.,shy
fhuen,/hʊnʲ/,nnt.,religion
fhumhín,/hʊˈmˠiːnʲ/,nm.,pubic hair
fhu,/hʊ/,adj.,huge
fhüd,/hʏːdˠ/,nm.,partner
